rank,Smiles,class_mean_prob_0.5_EState,class_mean_prob_0.5_Klekota-Roth,class_mean_prob_0.5_PubChem,prob_mean_EState,prob_mean_Klekota-Roth,prob_mean_PubChem,prob_mean_across_fingerprints,n_fingerprints_active,consensus_label,Metabolite,Metabolite_all,PubChem_ID,PubChem_ID_all,Organism,Organism_all,IUPAC_Name,Smiles_isomeric,Molecular_formula,Mw,n_source_rows,n_distinct_cid,identity_ambiguous
1,COC1OC(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O,1,1,1,0.99690163,0.9961078,0.99134696,0.9947855,3,Active (3/3),Glucogallin,Glucogallin,124375,124375,Phyllanthus niruri,Phyllanthus niruri,"[(3R,4S,5S,6S)-3,4,5-trihydroxy-6-methoxyoxan-2-yl] 3,4,5-trihydroxybenzoate",CO[C@@H]1[C@H]([C@@H]([C@H](C(O1)OC(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,C13H16O10,332.07434673,1,1,False
2,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(C(=O)O)=CC(O)C1O,1,1,1,0.9946053,0.9960938,0.991389,0.99402934,3,Active (3/3),5-O-Caffeoylshikimic acid,5-O-Caffeoylshikimic acid,5281762,5281762,Zingiber officinale,Zingiber officinale,"(3R,4R,5R)-5-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3,4-dihydroxycyclohexene-1-carboxylic acid",C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O,C16H16O8,336.08451749,1,1,False
3,O=C(O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(CO)CCC12,1,1,1,0.9937673,0.99515694,0.99221003,0.9937115,3,Active (3/3),Adoxosidic acid,Adoxosidic acid,13892717,13892717,Forsythia suspensa,Forsythia suspensa,"(1S,4aS,7S,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylic acid",C1C[C@H]2[C@@H]([C@H]1CO)[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C16H24O10,376.13694699,1,1,False
4,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.99401134,0.9914023,0.9933397,3,Active (3/3),Labiatenic acid,Labiatenic acid,5281792,5281792,Melissa officinalis,Melissa officinalis,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxypropanoic acid",C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C18H16O8,360.08451749,1,1,False
5,O=C(C=Cc1ccc(OC(=Cc2ccc(O)c(O)c2)C(=O)O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.99389386,0.99057376,0.99302435,3,Active (3/3),Melitric acid A,Melitric acid A,10459878,10459878,Melissa officinalis,Melissa officinalis,"2-[(E)-3-[4-[(Z)-1-carboxy-2-(3,4-dihydroxyphenyl)ethenoxy]-3-hydroxyphenyl]prop-2-enoyl]oxy-3-(3,4-dihydroxyphenyl)propanoic acid",C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O/C(=C\C3=CC(=C(C=C3)O)O)/C(=O)O)O)O)O,C27H22O12,538.11112617,1,1,False
6,O=C(C=Cc1ccc(O)c2c1C(C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.99356496,0.9908698,0.9930134,3,Active (3/3),Lithospermic acid,Lithospermic acid,6441498,6441498,Melissa officinalis,Melissa officinalis,"(2S,3S)-4-[(E)-3-[(1R)-1-carboxy-2-(3,4-dihydroxyphenyl)ethoxy]-3-oxoprop-1-enyl]-2-(3,4-dihydroxyphenyl)-7-hydroxy-2,3-dihydro-1-benzofuran-3-carboxylic acid",C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C3[C@@H]([C@H](OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)O)O)O,C27H22O12,538.11112617,1,1,False
7,O=C(C=Cc1ccc(O)c2c1C(C(=O)OC(Cc1ccc(O)c(O)c1)C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.9931619,0.99124247,0.9930032,3,Active (3/3),Salvianolic acid B,Salvianolic acid B,6451084,6451084,Melissa officinalis,Melissa officinalis,"(2R)-2-[(E)-3-[(2S,3S)-3-[(1R)-1-carboxy-2-(3,4-dihydroxyphenyl)ethoxy]carbonyl-2-(3,4-dihydroxyphenyl)-7-hydroxy-2,3-dihydro-1-benzofuran-4-yl]prop-2-enoyl]oxy-3-(3,4-dihydroxyphenyl)propanoic acid",C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C3[C@@H]([C@H](OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)O[C@H](CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,C36H30O16,718.15338491,1,1,False
8,O=C(OC(C(=O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)C1OC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)OCC1O)c1cc(O)c(O)c(O)c1,1,1,1,0.98764884,0.9983073,0.9929163,0.99295753,3,Active (3/3),Punigluconin,Punigluconin,21637585,21637585,Phyllanthus niruri,Phyllanthus niruri,"(2R,3S)-3-[(10R,11R)-3,4,5,11,17,18,19-heptahydroxy-8,14-dioxo-9,13-dioxatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-10-yl]-2,3-bis[(3,4,5-trihydroxybenzoyl)oxy]propanoic acid",C1[C@H]([C@@H](OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)[C@@H]([C@H](C(=O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O,C34H26O23,802.08648714,1,1,False
9,O=C(C=Cc1ccc2c(c1)OC(=O)C(=Cc1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.99346983,0.99034286,0.99280596,3,Active (3/3),Melitric acid B,Melitric acid B,131752903,131752903,Melissa officinalis,Melissa officinalis,"3-(3,4-dihydroxyphenyl)-2-[(E)-3-[(2Z)-2-[(3,4-dihydroxyphenyl)methylidene]-3-oxo-1,4-benzodioxin-6-yl]prop-2-enoyl]oxypropanoic acid",C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC3=C(C=C2)O/C(=C\C4=CC(=C(C=C4)O)O)/C(=O)O3)O)O,C27H20O11,520.10056148,1,1,False
10,O=C(C=Cc1ccc(O)c(O)c1C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.9928435,0.9909576,0.99280214,3,Active (3/3),Salvianolic acid A,Salvianolic acid A,5281793,5281793,Melissa officinalis,Melissa officinalis,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-[2-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-3,4-dihydroxyphenyl]prop-2-enoyl]oxypropanoic acid",C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C(C(=C(C=C2)O)O)/C=C/C3=CC(=C(C=C3)O)O)O)O,C26H22O10,494.12129692,1,1,False
11,O=C1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c(O)c2)=C1OC(=O)c1cc(O)c(O)c(O)c1,1,1,1,0.98764884,0.9965503,0.99297976,0.992393,3,Active (3/3),Emblicanin A,Emblicanin A,119058016,119058016,Phyllanthus niruri,Phyllanthus niruri,"[(10R,15R)-3,4,5,21,22,23-hexahydroxy-8,13,18-trioxo-12-(3,4,5-trihydroxybenzoyl)oxy-9,14,17-trioxatetracyclo[17.4.0.02,7.010,15]tricosa-1(23),2,4,6,11,19,21-heptaen-11-yl] 3,4,5-trihydroxybenzoate",C1[C@@H]2[C@H](C(=C(C(=O)O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O1)O)O)O)O)O)O,C34H22O22,782.06027239,1,1,False
12,O=C(C=Cc1ccc(O)cc1)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,1,1,0.9946053,0.9948935,0.9866642,0.9920543,3,Active (3/3),Clinopodic acid A,Clinopodic acid A,25244691,25244691,Melissa officinalis,Melissa officinalis,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxypropanoic acid",C1=CC(=CC=C1/C=C/C(=O)O[C@H](CC2=CC(=C(C=C2)O)O)C(=O)O)O,C18H16O7,344.08960287,1,1,False
13,O=C1OCC2OC(O)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,1,1,1,0.98764884,0.99628985,0.9907683,0.99156904,3,Active (3/3),Pedunculagin,Pedunculagin,442688,442688,Phyllanthus niruri,Phyllanthus niruri,"(1R,2S,19R,22R)-7,8,9,12,13,14,20,28,29,30,33,34,35-tridecahydroxy-3,18,21,24,39-pentaoxaheptacyclo[20.17.0.02,19.05,10.011,16.026,31.032,37]nonatriaconta-5,7,9,11,13,15,26,28,30,32,34,36-dodecaene-4,17,25,38-tetrone",C1[C@@H]2[C@H]([C@H]3[C@H](C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O,C34H24O22,784.07592246,1,1,False
14,CC(C)=CCc1c(O)c(O)c(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)c2c1OC(c1ccc(O)cc1)CC2=O,1,1,1,0.99597496,0.9939077,0.9844141,0.99143225,3,Active (3/3),Nirurin,Nirurin,102405297,102405297,Phyllanthus niruri,Phyllanthus niruri,"6,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3-dihydrochromen-4-one",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C(C4=C3C(=O)CC(O4)C5=CC=C(C=C5)O)CC=C(C)C)O)O)O)O)O)O)O)O,C32H40O15,664.23672061,1,1,False
15,CC1OC(OCC2OC(OCC(O)c3ccc(O)c(O)c3)C(O)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,1,1,1,0.99597496,0.98730487,0.98891884,0.9907329,3,Active (3/3),Suspensaside,Suspensaside,5281798,5281798,Forsythia suspensa,Forsythia suspensa,"[(2R,3S,4R,5R,6R)-6-[2-(3,4-dihydroxyphenyl)-2-hydroxyethoxy]-4,5-dihydroxy-2-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCC(C3=CC(=C(C=C3)O)O)O)O)O)OC(=O)/C=C/C4=CC(=C(C=C4)O)O)O)O)O,C29H36O16,640.20033511,1,1,False
16,COc1cc(C(=O)O)ccc1O,1,1,1,0.99509877,0.994469,0.98214424,0.9905707,3,Active (3/3),Vanillic acid,Vanillic acid,8468,8468,Zingiber officinale,Zingiber officinale,4-hydroxy-3-methoxybenzoic acid,COC1=C(C=CC(=C1)C(=O)O)O,C8H8O4,168.04225874,1,1,False
17,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)C1C(C(=O)OC(Cc2ccc(O)c(O)c2)C(=O)O)C(c2ccc(O)c(O)c2)C1c1ccc(O)c(O)c1,1,1,1,0.98764884,0.9950546,0.9889437,0.9905491,3,Active (3/3),(+)-Sagerinic acid,(+)-Sagerinic acid,23760102,23760102,Melissa officinalis,Melissa officinalis,"2-[2-[1-carboxy-2-(3,4-dihydroxyphenyl)ethoxy]carbonyl-3,4-bis(3,4-dihydroxyphenyl)cyclobutanecarbonyl]oxy-3-(3,4-dihydroxyphenyl)propanoic acid",C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C2C(C(C2C(=O)OC(CC3=CC(=C(C=C3)O)O)C(=O)O)C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O)O)O,C36H32O16,720.16903498,1,1,False
18,O=C(O)c1cc(O)c(O)c(O)c1,1,1,1,0.9831631,0.9960959,0.9873413,0.9888668,3,Active (3/3),Gallic acid,Gallic acid,370,370,Phyllanthus niruri,Phyllanthus niruri,"3,4,5-trihydroxybenzoic acid",C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.0215233,1,1,False
19,CC1OC(Oc2cc(O)c3c(c2)OC(c2ccc(O)c(O)c2)CC3=O)C(O)C(O)C1O,1,1,1,0.99372405,0.9878363,0.9818227,0.9877944,3,Active (3/3),Eriodictin,Eriodictin,101789466,101789466,Phyllanthus niruri,Phyllanthus niruri,"(2S)-2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3-dihydrochromen-4-one",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=O)C[C@H](OC3=C2)C4=CC(=C(C=C4)O)O)O)O)O)O,C21H22O10,434.12129692,1,1,False
20,CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(O)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O,1,1,1,0.99597496,0.978272,0.9886004,0.98761576,3,Active (3/3),Forsythiaside,Forsythiaside,5281773,5281773,Forsythia suspensa,Forsythia suspensa,"[(2R,3S,4R,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-4,5-dihydroxy-2-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC(=C(C=C3)O)O)O)O)OC(=O)/C=C/C4=CC(=C(C=C4)O)O)O)O)O,C29H36O15,624.20542048,1,1,False
21,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(=O)C=Cc3ccccc3)C(O)C2OC(=O)C=Cc2ccccc2)C(OC(C)=O)C(O)C1OC(C)=O,1,1,1,0.9811386,0.99458283,0.9855338,0.98708504,3,Active (3/3),Niruriside,Niruriside,70697928,70697928,Phyllanthus niruri,Phyllanthus niruri,"[(2R,3R,4S,5S)-5-(acetyloxymethyl)-5-[(2S,3R,4S,5S,6R)-3,5-diacetyloxy-6-(acetyloxymethyl)-4-hydroxyoxan-2-yl]oxy-3-hydroxy-4-[(E)-3-phenylprop-2-enoyl]oxyoxolan-2-yl]methyl (E)-3-phenylprop-2-enoate",CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COC(=O)/C=C/C3=CC=CC=C3)O)OC(=O)/C=C/C4=CC=CC=C4)COC(=O)C)OC(=O)C)O)OC(=O)C,C38H42O17,770.24219992,1,1,False
22,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1OC)OC(c1ccccc1)CC2=O,1,1,1,0.99372405,0.9923654,0.9747973,0.98696226,3,Active (3/3),Andrographidin A,Andrographidin A,13963762,13963762,Andrographis paniculata,Andrographis paniculata,"(2S)-7,8-dimethoxy-2-phenyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one",COC1=C(C2=C(C(=O)C[C@H](O2)C3=CC=CC=C3)C(=C1)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC,C23H26O10,462.15259705,1,1,False
23,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,1,1,0.996528,0.96813977,0.98959297,0.9847536,3,Active (3/3),Gingerglycolipid C,Gingerglycolipid C,10259020,10259020,Zingiber officinale,Zingiber officinale,"[(2S)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] (Z)-octadec-9-enoate",CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,C33H60O14,680.39830663,1,1,False
24,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,1,1,0.996528,0.96777475,0.98959297,0.98463196,3,Active (3/3),Gingerglycolipid B,Gingerglycolipid B,10009754,10009754,Zingiber officinale,Zingiber officinale,"[(2S)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,C33H58O14,678.38265656,1,1,False
25,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,1,1,1,0.9945056,0.9886163,0.9701385,0.9844201,3,Active (3/3),(+)-Dihydrokaempferol,(+)-Dihydrokaempferol,122850,122850,Zingiber officinale,Zingiber officinale,"(2R,3R)-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H12O6,288.06338812,1,1,False
26,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,1,1,0.996528,0.96646434,0.98959297,0.9841952,3,Active (3/3),Gingerglycolipid A,Gingerglycolipid A,10349562,10349562,Zingiber officinale,Zingiber officinale,"[(2S)-2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O,C33H56O14,676.3670065,1,1,False
27,O=C(O)C1OC(Oc2cc(-c3cc(=O)c4c(O)cc(O)cc4o3)ccc2O)C(O)C(O)C1O,1,1,1,0.9606841,0.99729735,0.9907661,0.9829159,3,Active (3/3),Luteolin 3'-O-beta-D-glucuronide,Luteolin 3'-O-beta-D-glucuronide,10253785,10253785,Melissa officinalis,Melissa officinalis,"(2S,3S,4S,5R,6S)-6-[5-(5,7-dihydroxy-4-oxochromen-2-yl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O,C21H18O12,462.07982604,1,1,False
