reseptor,pdb_id,scoring,ligan,n_kontak_kristal,n_kontak_pose,n_bersama,recall,jaccard,min_ON_ke_Zn_A,koordinasi_Zn,fn,affinity_mean,heavy,LE,pose_ok
MMP9,4XCT,vina,Glucogallin,16,15,10,0.62,0.48,3.87,False,vina,-8.19,23,0.356,False
MMP9,4XCT,vina,Adoxosidic acid,16,14,12,0.75,0.67,4.4,False,vina,-7.84,26,0.302,False
MMP9,4XCT,vina,p-Coumaric acid,16,8,7,0.44,0.41,4.58,False,vina,-6.93,12,0.578,False
MMP9,4XCT,vina,Caffeic acid,16,11,8,0.5,0.42,4.75,False,vina,-7.3,13,0.562,False
MMP9,4XCT,vina,+-Ascorbic acid,16,11,9,0.56,0.5,5.21,False,vina,-6.07,12,0.506,False
MMP9,4XCT,vina,Salvianic acid A,16,9,9,0.56,0.56,2.47,True,vina,-7.48,14,0.534,False
MMP9,4XCT,vina,Forsythoside D,16,15,15,0.94,0.94,2.21,True,vina,-9.36,33,0.284,True
DPP4,4A5S,vina,Glucogallin,16,14,8,0.5,0.36,,,vina,-8.15,23,0.354,False
DPP4,4A5S,vina,Adoxosidic acid,16,13,9,0.56,0.45,,,vina,-7.66,26,0.295,False
DPP4,4A5S,vina,p-Coumaric acid,16,10,8,0.5,0.44,,,vina,-5.71,12,0.476,False
DPP4,4A5S,vina,Caffeic acid,16,8,7,0.44,0.41,,,vina,-6.24,13,0.48,False
DPP4,4A5S,vina,+-Ascorbic acid,16,8,3,0.19,0.14,,,vina,-5.69,12,0.474,False
DPP4,4A5S,vina,Salvianic acid A,16,12,10,0.62,0.56,,,vina,-6.24,14,0.446,True
DPP4,4A5S,vina,Forsythoside D,16,15,9,0.56,0.41,,,vina,-8.8,33,0.267,False
MIF,6B1K,vina,Glucogallin,12,12,11,0.92,0.85,,,vina,-6.06,23,0.263,True
MIF,6B1K,vina,Adoxosidic acid,12,7,5,0.42,0.36,,,vina,-5.64,26,0.217,False
MIF,6B1K,vina,p-Coumaric acid,12,11,11,0.92,0.92,,,vina,-7.67,12,0.639,True
MIF,6B1K,vina,Caffeic acid,12,12,11,0.92,0.85,,,vina,-7.35,13,0.565,True
MIF,6B1K,vina,+-Ascorbic acid,12,9,8,0.67,0.62,,,vina,-5.25,12,0.438,True
MIF,6B1K,vina,Salvianic acid A,12,12,11,0.92,0.85,,,vina,-7.05,14,0.504,True
MIF,6B1K,vina,Forsythoside D,12,15,12,1.0,0.8,,,vina,-7.38,33,0.224,True
Neuraminidase N2,4K1K,vinardo,Glucogallin,13,13,6,0.46,0.3,,,vinardo,-5.65,23,0.246,False
Neuraminidase N2,4K1K,vinardo,Adoxosidic acid,13,14,11,0.85,0.69,,,vinardo,-5.4,26,0.208,True
Neuraminidase N2,4K1K,vinardo,p-Coumaric acid,13,7,2,0.15,0.11,,,vinardo,-4.27,12,0.356,False
Neuraminidase N2,4K1K,vinardo,Caffeic acid,13,10,6,0.46,0.35,,,vinardo,-4.64,13,0.357,False
Neuraminidase N2,4K1K,vinardo,+-Ascorbic acid,13,7,6,0.46,0.43,,,vinardo,-4.25,12,0.354,False
Neuraminidase N2,4K1K,vinardo,Salvianic acid A,13,13,5,0.38,0.24,,,vinardo,-5.08,14,0.363,False
Neuraminidase N2,4K1K,vinardo,Forsythoside D,13,15,8,0.62,0.4,,,vinardo,-6.56,33,0.199,True
MMP2,8H78,vina,Glucogallin,28,15,14,0.5,0.48,2.12,True,vina,-7.81,23,0.34,False
MMP2,8H78,vina,Adoxosidic acid,28,12,10,0.36,0.33,4.05,False,vina,-7.76,26,0.298,False
MMP2,8H78,vina,p-Coumaric acid,28,9,9,0.32,0.32,6.23,False,vina,-7.03,12,0.586,False
MMP2,8H78,vina,Caffeic acid,28,10,10,0.36,0.36,6.19,False,vina,-7.03,13,0.541,False
MMP2,8H78,vina,+-Ascorbic acid,28,9,9,0.32,0.32,2.43,True,vina,-5.97,12,0.498,False
MMP2,8H78,vina,Salvianic acid A,28,12,9,0.32,0.29,5.88,False,vina,-6.99,14,0.499,False
MMP2,8H78,vina,Forsythoside D,28,20,20,0.71,0.71,2.26,True,vina,-9.08,33,0.275,True
