pdb_id,ligan_kontrol,peringkat_asli,rmsd_A,skor_vina,skor_vinardo,skor_konsensus
3RO5,LGH,1,8.18,-9.54,-6.658,-8.099
3RO5,LGH,2,0.47,-9.2,-4.721,-6.9605
3RO5,LGH,3,6.95,-8.346,-4.928,-6.6370000000000005
3RO5,LGH,4,8.16,-8.556,-4.92,-6.7379999999999995
3RO5,LGH,5,8.07,-7.642,-5.285,-6.4635
3RO5,LGH,6,8.88,-7.653,-4.36,-6.0065
3RO5,LGH,7,9.26,-7.718,-4.119,-5.9185
3RO5,LGH,8,7.86,-7.802,-4.269,-6.0355
3RO5,LGH,9,5.56,-8.213,-4.421,-6.317
8T5W,E4Z,1,4.04,-10.851,-7.187,-9.019
8T5W,E4Z,2,2.87,-9.631,-6.262,-7.9465
8T5W,E4Z,3,6.31,-9.276,-5.504,-7.39
8T5W,E4Z,4,0.3,-10.692,-7.31,-9.001
8T5W,E4Z,5,6.07,-9.05,-4.749,-6.8995
8T5W,E4Z,6,5.51,-9.076,-4.482,-6.779
8T5W,E4Z,7,2.23,-8.727,-4.967,-6.8469999999999995
8T5W,E4Z,8,6.15,-8.491,-4.002,-6.246499999999999
8T5W,E4Z,9,3.53,-9.022,-4.009,-6.5155
4K1K,G39,1,0.21,-6.005,-4.945,-5.475
4K1K,G39,2,4.55,-5.863,-5.01,-5.4365000000000006
4K1K,G39,3,5.98,-5.889,-4.32,-5.1045
4K1K,G39,4,2.76,-5.616,-4.257,-4.9365
4K1K,G39,5,5.86,-4.743,-4.222,-4.4825
4K1K,G39,6,4.76,-5.54,-4.227,-4.8835
4K1K,G39,7,4.8,-5.377,-4.046,-4.7115
4K1K,G39,8,7.64,-5.219,-3.998,-4.6085
4K1K,G39,9,4.27,-5.88,-4.02,-4.949999999999999
