group,target,pdb_id,ligand,seed,affinity_kcal_mol,control_passed,error
virus,Hemagglutinin H9,1JSI,001_Glucogallin,1,-5.558,True,
virus,Hemagglutinin H9,1JSI,001_Glucogallin,2,-5.501,True,
virus,Hemagglutinin H9,1JSI,001_Glucogallin,3,-5.498,True,
virus,Hemagglutinin H9,1JSI,003_Adoxosidic_acid,1,-6.032,True,
virus,Hemagglutinin H9,1JSI,003_Adoxosidic_acid,2,-6.024,True,
virus,Hemagglutinin H9,1JSI,003_Adoxosidic_acid,3,-6.031,True,
virus,Hemagglutinin H9,1JSI,029_p-Coumaric_acid,1,-4.898,True,
virus,Hemagglutinin H9,1JSI,029_p-Coumaric_acid,2,-4.886,True,
virus,Hemagglutinin H9,1JSI,029_p-Coumaric_acid,3,-4.905,True,
virus,Hemagglutinin H9,1JSI,035_Caffeic_acid,1,-4.911,True,
virus,Hemagglutinin H9,1JSI,035_Caffeic_acid,2,-4.895,True,
virus,Hemagglutinin H9,1JSI,035_Caffeic_acid,3,-4.9,True,
virus,Hemagglutinin H9,1JSI,041_+-Ascorbic_acid,1,-4.227,True,
virus,Hemagglutinin H9,1JSI,041_+-Ascorbic_acid,2,-4.035,True,
virus,Hemagglutinin H9,1JSI,041_+-Ascorbic_acid,3,-4.042,True,
virus,Hemagglutinin H9,1JSI,055_Salvianic_acid_A,1,-5.121,True,
virus,Hemagglutinin H9,1JSI,055_Salvianic_acid_A,2,-5.118,True,
virus,Hemagglutinin H9,1JSI,055_Salvianic_acid_A,3,-5.11,True,
virus,Hemagglutinin H9,1JSI,085_Forsythoside_D,1,-6.471,True,
virus,Hemagglutinin H9,1JSI,085_Forsythoside_D,2,-6.486,True,
virus,Hemagglutinin H9,1JSI,085_Forsythoside_D,3,-6.487,True,
virus,Hemagglutinin H9,1JSH,001_Glucogallin,1,-5.198,True,
virus,Hemagglutinin H9,1JSH,001_Glucogallin,2,-5.367,True,
virus,Hemagglutinin H9,1JSH,001_Glucogallin,3,-5.363,True,
virus,Hemagglutinin H9,1JSH,003_Adoxosidic_acid,1,-6.029,True,
virus,Hemagglutinin H9,1JSH,003_Adoxosidic_acid,2,-5.992,True,
virus,Hemagglutinin H9,1JSH,003_Adoxosidic_acid,3,-6.016,True,
virus,Hemagglutinin H9,1JSH,029_p-Coumaric_acid,1,-4.874,True,
virus,Hemagglutinin H9,1JSH,029_p-Coumaric_acid,2,-4.885,True,
virus,Hemagglutinin H9,1JSH,029_p-Coumaric_acid,3,-4.864,True,
virus,Hemagglutinin H9,1JSH,035_Caffeic_acid,1,-4.864,True,
virus,Hemagglutinin H9,1JSH,035_Caffeic_acid,2,-4.886,True,
virus,Hemagglutinin H9,1JSH,035_Caffeic_acid,3,-4.883,True,
virus,Hemagglutinin H9,1JSH,041_+-Ascorbic_acid,1,-4.121,True,
virus,Hemagglutinin H9,1JSH,041_+-Ascorbic_acid,2,-4.08,True,
virus,Hemagglutinin H9,1JSH,041_+-Ascorbic_acid,3,-4.098,True,
virus,Hemagglutinin H9,1JSH,055_Salvianic_acid_A,1,-5.184,True,
virus,Hemagglutinin H9,1JSH,055_Salvianic_acid_A,2,-5.214,True,
virus,Hemagglutinin H9,1JSH,055_Salvianic_acid_A,3,-5.212,True,
virus,Hemagglutinin H9,1JSH,085_Forsythoside_D,1,-6.358,True,
virus,Hemagglutinin H9,1JSH,085_Forsythoside_D,2,-6.334,True,
virus,Hemagglutinin H9,1JSH,085_Forsythoside_D,3,-6.356,True,
virus,Neuraminidase N2,4K1K,001_Glucogallin,1,-7.674,True,
virus,Neuraminidase N2,4K1K,001_Glucogallin,2,-7.464,True,
virus,Neuraminidase N2,4K1K,001_Glucogallin,3,-7.443,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,1,-7.793,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,2,-7.833,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,3,-7.81,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,1,-5.238,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,2,-5.293,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,3,-5.307,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,1,-5.743,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,2,-5.733,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,3,-5.721,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,1,-5.452,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,2,-5.446,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,3,-5.447,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,1,-6.236,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,2,-6.225,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,3,-6.224,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,1,-8.161,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,2,-8.211,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,3,-8.225,True,
virus,PA endonuclease,8T5W,001_Glucogallin,1,-7.338,True,
virus,PA endonuclease,8T5W,001_Glucogallin,2,-7.331,True,
virus,PA endonuclease,8T5W,001_Glucogallin,3,-7.37,True,
virus,PA endonuclease,8T5W,003_Adoxosidic_acid,1,-7.38,True,
virus,PA endonuclease,8T5W,003_Adoxosidic_acid,2,-7.384,True,
virus,PA endonuclease,8T5W,003_Adoxosidic_acid,3,-7.384,True,
virus,PA endonuclease,8T5W,029_p-Coumaric_acid,1,-5.506,True,
virus,PA endonuclease,8T5W,029_p-Coumaric_acid,2,-5.458,True,
virus,PA endonuclease,8T5W,029_p-Coumaric_acid,3,-5.516,True,
virus,PA endonuclease,8T5W,035_Caffeic_acid,1,-6.041,True,
virus,PA endonuclease,8T5W,035_Caffeic_acid,2,-6.065,True,
virus,PA endonuclease,8T5W,035_Caffeic_acid,3,-6.001,True,
virus,PA endonuclease,8T5W,041_+-Ascorbic_acid,1,-5.288,True,
virus,PA endonuclease,8T5W,041_+-Ascorbic_acid,2,-5.292,True,
virus,PA endonuclease,8T5W,041_+-Ascorbic_acid,3,-5.289,True,
virus,PA endonuclease,8T5W,055_Salvianic_acid_A,1,-5.652,True,
virus,PA endonuclease,8T5W,055_Salvianic_acid_A,2,-5.634,True,
virus,PA endonuclease,8T5W,055_Salvianic_acid_A,3,-5.637,True,
virus,PA endonuclease,8T5W,085_Forsythoside_D,1,-9.093,True,
virus,PA endonuclease,8T5W,085_Forsythoside_D,2,-9.098,True,
virus,PA endonuclease,8T5W,085_Forsythoside_D,3,-9.086,True,
virus,Nucleoprotein,3RO5,001_Glucogallin,1,-7.382,True,
virus,Nucleoprotein,3RO5,001_Glucogallin,2,-7.281,True,
virus,Nucleoprotein,3RO5,001_Glucogallin,3,-7.345,True,
virus,Nucleoprotein,3RO5,003_Adoxosidic_acid,1,-8.058,True,
virus,Nucleoprotein,3RO5,003_Adoxosidic_acid,2,-8.051,True,
virus,Nucleoprotein,3RO5,003_Adoxosidic_acid,3,-8.053,True,
virus,Nucleoprotein,3RO5,029_p-Coumaric_acid,1,-6.976,True,
virus,Nucleoprotein,3RO5,029_p-Coumaric_acid,2,-6.982,True,
virus,Nucleoprotein,3RO5,029_p-Coumaric_acid,3,-6.975,True,
virus,Nucleoprotein,3RO5,035_Caffeic_acid,1,-6.594,True,
virus,Nucleoprotein,3RO5,035_Caffeic_acid,2,-6.592,True,
virus,Nucleoprotein,3RO5,035_Caffeic_acid,3,-6.59,True,
virus,Nucleoprotein,3RO5,041_+-Ascorbic_acid,1,-4.975,True,
virus,Nucleoprotein,3RO5,041_+-Ascorbic_acid,2,-4.991,True,
virus,Nucleoprotein,3RO5,041_+-Ascorbic_acid,3,-4.931,True,
virus,Nucleoprotein,3RO5,055_Salvianic_acid_A,1,-6.453,True,
virus,Nucleoprotein,3RO5,055_Salvianic_acid_A,2,-6.465,True,
virus,Nucleoprotein,3RO5,055_Salvianic_acid_A,3,-6.454,True,
virus,Nucleoprotein,3RO5,085_Forsythoside_D,1,-8.81,True,
virus,Nucleoprotein,3RO5,085_Forsythoside_D,2,-8.854,True,
virus,Nucleoprotein,3RO5,085_Forsythoside_D,3,-8.861,True,
inang,MMP9,4XCT,001_Glucogallin,1,-8.166,True,
inang,MMP9,4XCT,001_Glucogallin,2,-8.166,True,
inang,MMP9,4XCT,001_Glucogallin,3,-8.251,True,
inang,MMP9,4XCT,003_Adoxosidic_acid,1,-7.837,True,
inang,MMP9,4XCT,003_Adoxosidic_acid,2,-7.852,True,
inang,MMP9,4XCT,003_Adoxosidic_acid,3,-7.829,True,
inang,MMP9,4XCT,029_p-Coumaric_acid,1,-6.933,True,
inang,MMP9,4XCT,029_p-Coumaric_acid,2,-6.929,True,
inang,MMP9,4XCT,029_p-Coumaric_acid,3,-6.933,True,
inang,MMP9,4XCT,035_Caffeic_acid,1,-7.297,True,
inang,MMP9,4XCT,035_Caffeic_acid,2,-7.313,True,
inang,MMP9,4XCT,035_Caffeic_acid,3,-7.284,True,
inang,MMP9,4XCT,041_+-Ascorbic_acid,1,-6.06,True,
inang,MMP9,4XCT,041_+-Ascorbic_acid,2,-6.074,True,
inang,MMP9,4XCT,041_+-Ascorbic_acid,3,-6.07,True,
inang,MMP9,4XCT,055_Salvianic_acid_A,1,-7.487,True,
inang,MMP9,4XCT,055_Salvianic_acid_A,2,-7.477,True,
inang,MMP9,4XCT,055_Salvianic_acid_A,3,-7.491,True,
inang,MMP9,4XCT,085_Forsythoside_D,1,-9.354,True,
inang,MMP9,4XCT,085_Forsythoside_D,2,-9.361,True,
inang,MMP9,4XCT,085_Forsythoside_D,3,-9.376,True,
inang,MMP2,8H78,001_Glucogallin,1,-7.847,True,
inang,MMP2,8H78,001_Glucogallin,2,-7.774,True,
inang,MMP2,8H78,001_Glucogallin,3,-7.807,True,
inang,MMP2,8H78,003_Adoxosidic_acid,1,-7.763,True,
inang,MMP2,8H78,003_Adoxosidic_acid,2,-7.764,True,
inang,MMP2,8H78,003_Adoxosidic_acid,3,-7.757,True,
inang,MMP2,8H78,029_p-Coumaric_acid,1,-7.028,True,
inang,MMP2,8H78,029_p-Coumaric_acid,2,-7.041,True,
inang,MMP2,8H78,029_p-Coumaric_acid,3,-7.027,True,
inang,MMP2,8H78,035_Caffeic_acid,1,-7.033,True,
inang,MMP2,8H78,035_Caffeic_acid,2,-7.025,True,
inang,MMP2,8H78,035_Caffeic_acid,3,-7.036,True,
inang,MMP2,8H78,041_+-Ascorbic_acid,1,-5.967,True,
inang,MMP2,8H78,041_+-Ascorbic_acid,2,-5.97,True,
inang,MMP2,8H78,041_+-Ascorbic_acid,3,-5.965,True,
inang,MMP2,8H78,055_Salvianic_acid_A,1,-6.988,True,
inang,MMP2,8H78,055_Salvianic_acid_A,2,-6.988,True,
inang,MMP2,8H78,055_Salvianic_acid_A,3,-6.994,True,
inang,MMP2,8H78,085_Forsythoside_D,1,-9.207,True,
inang,MMP2,8H78,085_Forsythoside_D,2,-9.019,True,
inang,MMP2,8H78,085_Forsythoside_D,3,-9.014,True,
inang,DPP4,4A5S,001_Glucogallin,1,-8.14,True,
inang,DPP4,4A5S,001_Glucogallin,2,-8.162,True,
