group,target,pdb_id,ligand,scoring,seed,affinity_kcal_mol,control_passed,error
virus,Neuraminidase N2,4K1K,001_Glucogallin,vinardo,1,-5.638,True,
virus,Neuraminidase N2,4K1K,001_Glucogallin,vinardo,2,-5.662,True,
virus,Neuraminidase N2,4K1K,001_Glucogallin,vinardo,3,-5.664,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,vinardo,1,-5.391,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,vinardo,2,-5.391,True,
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,vinardo,3,-5.408,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,vinardo,1,-4.297,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,vinardo,2,-4.29,True,
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,vinardo,3,-4.213,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,vinardo,1,-4.639,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,vinardo,2,-4.649,True,
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,vinardo,3,-4.642,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,vinardo,1,-4.253,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,vinardo,2,-4.252,True,
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,vinardo,3,-4.252,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,vinardo,1,-5.082,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,vinardo,2,-5.072,True,
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,vinardo,3,-5.083,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,vinardo,1,-6.568,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,vinardo,2,-6.554,True,
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,vinardo,3,-6.565,True,
