group,target,pdb_id,ligand,control_passed,affinity_mean,affinity_sd,affinity_best,heavy_atoms,ligand_efficiency,ligan,reseptor,native_ligand,redock_score,rmsd_top_pose_A,rmsd_best_pose_A,control_passed_scoring,control_passed_sampling,status_kontrol,vs_control_kcal,meets_threshold,good_efficiency
inang,DPP4,4A5S,085_Forsythoside_D,True,-8.8,0.03,-8.83,33,0.267,Forsythoside D,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,2.31,True,False
inang,DPP4,4A5S,001_Glucogallin,True,-8.15,0.01,-8.16,23,0.354,Glucogallin,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,2.96,True,True
inang,DPP4,4A5S,003_Adoxosidic_acid,True,-7.66,0.02,-7.67,26,0.295,Adoxosidic acid,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,3.45,True,False
inang,DPP4,4A5S,035_Caffeic_acid,True,-6.24,0.02,-6.25,13,0.48,Caffeic acid,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,4.87,False,True
inang,DPP4,4A5S,055_Salvianic_acid_A,True,-6.24,0.02,-6.26,14,0.446,Salvianic acid A,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,4.87,False,True
inang,DPP4,4A5S,029_p-Coumaric_acid,True,-5.71,0.0,-5.71,12,0.476,p-Coumaric acid,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,5.4,False,True
inang,DPP4,4A5S,041_+-Ascorbic_acid,True,-5.69,0.01,-5.69,12,0.474,+-Ascorbic acid,DPP4,N7F,-11.11,0.83,0.83,True,True,tervalidasi,5.42,False,True
inang,MIF,6B1K,029_p-Coumaric_acid,True,-7.67,0.0,-7.67,12,0.639,p-Coumaric acid,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,3.39,True,True
inang,MIF,6B1K,085_Forsythoside_D,True,-7.38,0.01,-7.39,33,0.224,Forsythoside D,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,3.68,True,False
inang,MIF,6B1K,035_Caffeic_acid,True,-7.35,0.01,-7.36,13,0.565,Caffeic acid,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,3.71,True,True
inang,MIF,6B1K,055_Salvianic_acid_A,True,-7.05,0.02,-7.07,14,0.504,Salvianic acid A,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,4.01,True,True
inang,MIF,6B1K,001_Glucogallin,True,-6.06,0.55,-6.69,23,0.263,Glucogallin,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,5.0,False,False
inang,MIF,6B1K,003_Adoxosidic_acid,True,-5.64,0.03,-5.67,26,0.217,Adoxosidic acid,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,5.42,False,False
inang,MIF,6B1K,041_+-Ascorbic_acid,True,-5.25,0.01,-5.26,12,0.438,+-Ascorbic acid,MIF,C9G,-11.062,0.25,0.25,True,True,tervalidasi,5.81,False,True
inang,MMP2,8H78,085_Forsythoside_D,True,-9.08,0.11,-9.21,33,0.275,Forsythoside D,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,0.55,True,False
inang,MMP2,8H78,001_Glucogallin,True,-7.81,0.04,-7.85,23,0.34,Glucogallin,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,1.82,True,False
inang,MMP2,8H78,003_Adoxosidic_acid,True,-7.76,0.0,-7.76,26,0.298,Adoxosidic acid,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,1.87,True,False
inang,MMP2,8H78,029_p-Coumaric_acid,True,-7.03,0.01,-7.04,12,0.586,p-Coumaric acid,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,2.6,True,True
inang,MMP2,8H78,035_Caffeic_acid,True,-7.03,0.01,-7.04,13,0.541,Caffeic acid,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,2.6,True,True
inang,MMP2,8H78,055_Salvianic_acid_A,True,-6.99,0.0,-6.99,14,0.499,Salvianic acid A,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,2.64,True,True
inang,MMP2,8H78,041_+-Ascorbic_acid,True,-5.97,0.0,-5.97,12,0.498,+-Ascorbic acid,MMP2,L2U,-9.626,7.97,3.96,False,False,tidak tervalidasi,3.66,False,True
inang,MMP9,4XCT,085_Forsythoside_D,True,-9.36,0.01,-9.38,33,0.284,Forsythoside D,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,-0.08,True,False
inang,MMP9,4XCT,001_Glucogallin,True,-8.19,0.05,-8.25,23,0.356,Glucogallin,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,1.09,True,True
inang,MMP9,4XCT,003_Adoxosidic_acid,True,-7.84,0.01,-7.85,26,0.302,Adoxosidic acid,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,1.44,True,False
inang,MMP9,4XCT,055_Salvianic_acid_A,True,-7.48,0.01,-7.49,14,0.534,Salvianic acid A,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,1.8,True,True
inang,MMP9,4XCT,035_Caffeic_acid,True,-7.3,0.01,-7.31,13,0.562,Caffeic acid,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,1.98,True,True
inang,MMP9,4XCT,029_p-Coumaric_acid,True,-6.93,0.0,-6.93,12,0.578,p-Coumaric acid,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,2.35,True,True
inang,MMP9,4XCT,041_+-Ascorbic_acid,True,-6.07,0.01,-6.07,12,0.506,+-Ascorbic acid,MMP9,N73,-9.278,1.21,0.95,True,True,tervalidasi,3.21,False,True
virus,Hemagglutinin H9,1JSH,085_Forsythoside_D,True,-6.35,0.01,-6.36,33,0.192,Forsythoside D,HA (LSTa),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSH,003_Adoxosidic_acid,True,-6.01,0.02,-6.03,26,0.231,Adoxosidic acid,HA (LSTa),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSH,001_Glucogallin,True,-5.31,0.1,-5.37,23,0.231,Glucogallin,HA (LSTa),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSH,055_Salvianic_acid_A,True,-5.2,0.02,-5.21,14,0.371,Salvianic acid A,HA (LSTa),,,,,,,tanpa kontrol,,False,True
virus,Hemagglutinin H9,1JSH,035_Caffeic_acid,True,-4.88,0.01,-4.89,13,0.375,Caffeic acid,HA (LSTa),,,,,,,tanpa kontrol,,False,True
virus,Hemagglutinin H9,1JSH,029_p-Coumaric_acid,True,-4.87,0.01,-4.88,12,0.406,p-Coumaric acid,HA (LSTa),,,,,,,tanpa kontrol,,False,True
virus,Hemagglutinin H9,1JSH,041_+-Ascorbic_acid,True,-4.1,0.02,-4.12,12,0.342,+-Ascorbic acid,HA (LSTa),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSI,085_Forsythoside_D,True,-6.48,0.01,-6.49,33,0.196,Forsythoside D,HA (LSTc),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSI,003_Adoxosidic_acid,True,-6.03,0.0,-6.03,26,0.232,Adoxosidic acid,HA (LSTc),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSI,001_Glucogallin,True,-5.52,0.03,-5.56,23,0.24,Glucogallin,HA (LSTc),,,,,,,tanpa kontrol,,False,False
virus,Hemagglutinin H9,1JSI,055_Salvianic_acid_A,True,-5.12,0.01,-5.12,14,0.366,Salvianic acid A,HA (LSTc),,,,,,,tanpa kontrol,,False,True
virus,Hemagglutinin H9,1JSI,029_p-Coumaric_acid,True,-4.9,0.01,-4.9,12,0.408,p-Coumaric acid,HA (LSTc),,,,,,,tanpa kontrol,,False,True
