PubChem_ID,Metabolite,nama_pubchem,formula_kita,formula_pubchem,formula_cocok,struktur_cocok,identity_ambiguous,status
124375,Glucogallin,Glucogallin,C13H16O10,C13H16O10,True,True,False,cocok
5281762,5-O-Caffeoylshikimic acid,5-O-Caffeoylshikimic acid,C16H16O8,C16H16O8,True,True,False,cocok
13892717,Adoxosidic acid,Adoxosidic acid,C16H24O10,C16H24O10,True,True,False,cocok
5281792,Labiatenic acid,Rosmarinic Acid,C18H16O8,C18H16O8,True,True,False,cocok
10459878,Melitric acid A,Melitric acid A,C27H22O12,C27H22O12,True,True,False,cocok
6441498,Lithospermic acid,Lithospermic Acid,C27H22O12,C27H22O12,True,True,False,cocok
6451084,Salvianolic acid B,Salvianolic Acid B,C36H30O16,C36H30O16,True,True,False,cocok
21637585,Punigluconin,Punigluconin,C34H26O23,C34H26O23,True,True,False,cocok
131752903,Melitric acid B,Melitric acid B,C27H20O11,C27H20O11,True,True,False,cocok
5281793,Salvianolic acid A,Salvianolic acid,C26H22O10,C26H22O10,True,True,False,cocok
119058016,Emblicanin A,Emblicanin A,C34H22O22,C34H22O22,True,True,False,cocok
25244691,Clinopodic acid A,Clinopodic Acid A,C18H16O7,C18H16O7,True,True,False,cocok
442688,Pedunculagin,Pedunculagin,C34H24O22,C34H24O22,True,True,False,cocok
102405297,Nirurin,Nirurin,C32H40O15,C32H40O15,True,True,False,cocok
5281798,Suspensaside,Suspensaside,C29H36O16,C29H36O16,True,True,False,cocok
8468,Vanillic acid,Vanillic Acid,C8H8O4,C8H8O4,True,True,False,cocok
23760102,(+)-Sagerinic acid,Sagerinic acid,C36H32O16,C36H32O16,True,True,False,cocok
370,Gallic acid,Gallic Acid,C7H6O5,C7H6O5,True,True,False,cocok
101789466,Eriodictin,Eriodictin,C21H22O10,C21H22O10,True,True,False,cocok
5281773,Forsythiaside,Forsythoside A,C29H36O15,C29H36O15,True,True,False,cocok
70697928,Niruriside,Niruriside,C38H42O17,C38H42O17,True,True,False,cocok
13963762,Andrographidin A,Andrographidin A,C23H26O10,C23H26O10,True,True,False,cocok
10259020,Gingerglycolipid C,Gingerglycolipid C,C33H60O14,C33H60O14,True,True,False,cocok
10009754,Gingerglycolipid B,Gingerglycolipid B,C33H58O14,C33H58O14,True,True,False,cocok
122850,(+)-Dihydrokaempferol,Dihydrokaempferol,C15H12O6,C15H12O6,True,True,False,cocok
