rank,Metabolite,Organism,PAINS,n_alert
1,Glucogallin,Phyllanthus niruri,,2
2,5-O-Caffeoylshikimic acid,Zingiber officinale,,3
3,Adoxosidic acid,Forsythia suspensa,,0
4,Labiatenic acid,Melissa officinalis,,3
5,Melitric acid A,Melissa officinalis,,4
6,Lithospermic acid,Melissa officinalis,,3
7,Salvianolic acid B,Melissa officinalis,,3
8,Punigluconin,Phyllanthus niruri,,3
9,Melitric acid B,Melissa officinalis,,4
10,Salvianolic acid A,Melissa officinalis,,4
11,Emblicanin A,Phyllanthus niruri,,3
12,Clinopodic acid A,Melissa officinalis,,3
13,Pedunculagin,Phyllanthus niruri,,3
14,Nirurin,Phyllanthus niruri,,3
15,Suspensaside,Forsythia suspensa,,3
16,Vanillic acid,Zingiber officinale,,0
17,(+)-Sagerinic acid,Melissa officinalis,,2
18,Gallic acid,Phyllanthus niruri,,2
19,Eriodictin,Phyllanthus niruri,,2
20,Forsythiaside,Forsythia suspensa,,3
21,Niruriside,Phyllanthus niruri,,2
22,Andrographidin A,Andrographis paniculata,,0
23,Gingerglycolipid C,Zingiber officinale,,2
24,Gingerglycolipid B,Zingiber officinale,,2
25,(+)-Dihydrokaempferol,Zingiber officinale,,0
26,Gingerglycolipid A,Zingiber officinale,,2
27,Luteolin 3'-O-beta-D-glucuronide,Melissa officinalis,,0
28,Nepetoidin A,Melissa officinalis,,4
29,p-Coumaric acid,Melissa officinalis,,1
30,3-Caffeoylquinic acid,Andrographis paniculata,,3
31,[4]-Gingerdiacetate,Zingiber officinale,,0
32,Yunnaneic acid F,Melissa officinalis,,3
33,Ferulic acid,Andrographis paniculata,,1
34,Palmitoleic acid,Zingiber officinale,,2
35,Caffeic acid,Andrographis paniculata,,3
36,Quercetin 3-O-alpha-L-rhamnoside,Phyllanthus niruri,,2
37,Undecanoic acid,Zingiber officinale,,1
38,Dodecanoic acid,Zingiber officinale,,1
39,Myristic acid,Zingiber officinale,,1
40,Pentadecanoic acid,Zingiber officinale,,1
41,(+)-Ascorbic acid,Zingiber officinale,,0
42,Heptadecanoic acid,Zingiber officinale,,1
43,Lignoceric acid,Zingiber officinale,,1
44,Triacontanoic acid,Zingiber officinale,,1
45,"5-Hydroxy-7,8-dimethoxyflavanone",Andrographis paniculata,,0
46,Kaempferol 4'-rhamnoside,Phyllanthus niruri,,0
47,"[6]-Gingerdiol 3,5-diacetate",Zingiber officinale,,1
48,Quadranoside III,Melissa officinalis,,1
49,[8]-Gingerdiol,Zingiber officinale,,1
50,Acetylursolic acid,Forsythia suspensa,,1
51,Foliamenthic acid,Zingiber officinale,,2
52,Ninandrographolide,Andrographis paniculata,,1
53,14-Acetylandrographolide,Andrographis paniculata,,2
54,"5,4'-Dihidroxy-7,8,2',3'-tetramethoxy flavone 5-glucoside",Andrographis paniculata,,0
55,Salvianic acid A,Melissa officinalis,,2
56,Bisandrographolide C,Andrographis paniculata,,1
57,Wogonin 5-glucoside,Andrographis paniculata,,0
58,Salvianolic acid F,Melissa officinalis,,4
59,Quercetin 3-rutinoside,Forsythia suspensa,,2
60,"5-Hydroxy-7,8-dimethoxyflavone 5-glucoside",Andrographis paniculata,,0
61,"5,2',3'-Trihydroxy-7,8-dimethoxyflavone 3'-glucoside",Andrographis paniculata,,0
62,3-Palmitoyl-sn-glycerol,Zingiber officinale,,1
63,Paniculide A,Andrographis paniculata,,2
64,Dihydroskullcap flavone I,Andrographis paniculata,,0
65,"5-Hydroxy-7,8,2',3'-tetramethoxyflavone 5-glucoside",Andrographis paniculata,,0
66,Luteolin 7-glucoside-3'-glucuronide,Melissa officinalis,,0
67,Paniculide B,Andrographis paniculata,,2
68,Neoandrographolide,Andrographis paniculata,,1
70,"5,4'-Dihidroxy-7,8,2',3'-tetramethoxyflavone",Andrographis paniculata,,0
71,Bisandrographolide B,Andrographis paniculata,,1
72,Dihydroferulic acid,Zingiber officinale,,0
73,"5-Hydroxy-7,8,2'-trimethoxyflavone 5-glucoside",Andrographis paniculata,,0
74,p-Coumaroyl CoA,Melissa officinalis,,4
75,[6]-Gingerdiol 3-acetate,Zingiber officinale,,1
76,[6]-Gingerdiol 5-acetate,Zingiber officinale,,1
77,Cyclopentaneundecanoic acid,Zingiber officinale,,1
78,Andrographiside,Andrographis paniculata,,2
79,3-O-beta-D-Glucopyranosylandrographolide,Andrographis paniculata,,3
80,Matairesinoside,Forsythia suspensa,,0
81,Astragalin,Phyllanthus niruri,,0
82,7-O-Methylwogonin,Andrographis paniculata,,0
83,Hirsutrin,Phyllanthus niruri,,2
84,Cinnamic acid,Andrographis paniculata,,1
85,Forsythoside D,Forsythia suspensa,,2
86,Nepetoidin B,Melissa officinalis,,4
87,caffeoyl-CoA,Zingiber officinale,,6
88,Ethylene glycol monohexadecanoate,Zingiber officinale,,1
89,Feruloyl-CoA,Zingiber officinale,,4
90,"3,7,4'-Tri-O-methylkaempferol",Zingiber officinale,,0
91,Forsythoside B,Forsythia suspensa,,3
92,Fisetin 4'-glucoside,Phyllanthus niruri,,0
93,14-Deoxy-17-hydroxyandrographolide,Andrographis paniculata,,0
94,"5-Hydroxy-3,7-dimethoxyflavone",Zingiber officinale,,0
95,Cinnamoyl-CoA,Zingiber officinale,,4
