accession,indonesia,kontak_identik,dari,persen
YGE14109.1,False,16,16,100.0
QTW96915.1,True,16,16,100.0
YEV89643.1,False,16,16,100.0
YEV89381.1,False,16,16,100.0
YEV89369.1,False,16,16,100.0
YEV85646.1,False,16,16,100.0
YEV85634.1,False,16,16,100.0
YEV85622.1,False,16,16,100.0
YEV85610.1,False,16,16,100.0
YEV85598.1,False,16,16,100.0
QTW97193.1,True,16,16,100.0
QTW97170.1,True,16,16,100.0
QTW97036.1,True,16,16,100.0
QTW96967.1,True,16,16,100.0
QTW96867.1,True,16,16,100.0
YGE14107.1,False,16,16,100.0
QTW96820.1,True,16,16,100.0
QTW96806.1,True,16,16,100.0
QTW96739.1,True,16,16,100.0
QTW96663.1,True,16,16,100.0
QTW94610.1,True,16,16,100.0
QTW93298.1,True,16,16,100.0
QTW92874.1,True,16,16,100.0
QTW92552.1,True,16,16,100.0
QTO06067.1,True,16,16,100.0
QTO05977.1,True,16,16,100.0
QTO06061.1,True,16,16,100.0
QTO06047.1,True,16,16,100.0
YEX87144.1,False,16,16,100.0
YEX87199.1,False,16,16,100.0
YEX89480.1,False,16,16,100.0
YEX89525.1,False,16,16,100.0
YGE14104.1,False,16,16,100.0
YGE14102.1,False,16,16,100.0
YGE14100.1,False,16,16,100.0
YGE14097.1,False,16,16,100.0
YGB74311.1,False,16,16,100.0
YFY78097.1,False,16,16,100.0
YFY78085.1,False,16,16,100.0
YFY78068.1,False,16,16,100.0
YFY78067.1,False,16,16,100.0
YFW62000.1,False,16,16,100.0
YFW61988.1,False,16,16,100.0
YFV98271.1,False,16,16,100.0
YFV98259.1,False,16,16,100.0
YFV98247.1,False,16,16,100.0
YFV98235.1,False,16,16,100.0
YFQ79243.1,False,16,16,100.0
YFQ79242.1,False,16,16,100.0
YFQ79230.1,False,16,16,100.0
XUM16621.1,False,16,16,100.0
XUM16610.1,False,16,16,100.0
YFK61219.1,False,16,16,100.0
sp|Q0A456.1|NRAM_I66A1,False,16,16,100.0
YBQ65201.1,False,16,16,100.0
YBQ65189.1,False,16,16,100.0
YEX89570.1,False,16,16,100.0
YEX89552.1,False,16,16,100.0
QTO06018.1,True,16,16,100.0
XQQ62328.2,True,15,16,93.8
