accession,galur,panjang,identitas_%,kemiripan_%,kolom_dibandingkan,indonesia
sp|Q0A456.1|NRAM_I66A1,sp|Q0A456.1|NRAM_I66A1 RecName: Full=Neuraminidase,469,92.5,97.4,388,False
YBQ65189.1,YBQ65189.1 neuraminidase [Influenza A virus],469,92.3,97.4,388,False
YBQ65201.1,YBQ65201.1 neuraminidase [Influenza A virus],469,92.3,97.4,388,False
YEV85610.1,YEV85610.1 neuraminidase [Influenza A virus],469,92.3,97.2,388,False
YEV85622.1,YEV85622.1 neuraminidase [Influenza A virus],469,92.3,96.9,388,False
YEV85646.1,YEV85646.1 neuraminidase [Influenza A virus],469,92.3,96.9,388,False
YEV85634.1,YEV85634.1 neuraminidase [Influenza A virus],469,92.3,96.9,388,False
YFW62000.1,YFW62000.1 neuraminidase [Influenza A virus],469,92.3,96.9,388,False
YFW61988.1,YFW61988.1 neuraminidase [Influenza A virus],469,92.3,96.9,388,False
YEV85598.1,YEV85598.1 neuraminidase [Influenza A virus],469,92.0,97.2,388,False
YFQ79243.1,YFQ79243.1 neuraminidase [Influenza A virus],469,92.0,96.4,388,False
YFQ79242.1,YFQ79242.1 neuraminidase [Influenza A virus],469,88.9,95.1,388,False
YFY78067.1,YFY78067.1 neuraminidase [Influenza A virus],469,87.1,93.8,388,False
YFV98247.1,YFV98247.1 neuraminidase [Influenza A virus],469,86.9,94.1,388,False
YFK61219.1,YFK61219.1 neuraminidase [Influenza A virus],469,86.9,93.0,388,False
YFV98235.1,YFV98235.1 neuraminidase [Influenza A virus],469,86.9,94.1,388,False
YFY78085.1,YFY78085.1 neuraminidase [Influenza A virus],469,86.9,93.6,388,False
YFY78097.1,YFY78097.1 neuraminidase [Influenza A virus],466,86.6,93.3,388,False
YEV89643.1,YEV89643.1 neuraminidase [Influenza A virus],466,86.3,93.6,388,False
YFV98259.1,YFV98259.1 neuraminidase [Influenza A virus],469,86.3,93.6,388,False
YFY78068.1,YFY78068.1 neuraminidase [Influenza A virus],466,86.3,92.8,388,False
YEV89369.1,YEV89369.1 neuraminidase [Influenza A virus],466,86.3,93.6,388,False
YEX87199.1,YEX87199.1 neuraminidase [Influenza A virus],469,86.1,94.6,388,False
YEX89552.1,YEX89552.1 neuraminidase [Influenza A virus],469,86.1,94.3,388,False
YGE14102.1,YGE14102.1 neuraminidase [Influenza A virus],466,86.1,92.8,388,False
YFV98271.1,YFV98271.1 neuraminidase [Influenza A virus],469,86.1,93.3,388,False
YEX87144.1,YEX87144.1 neuraminidase [Influenza A virus],469,85.8,93.8,388,False
YEX89570.1,YEX89570.1 neuraminidase [Influenza A virus],469,85.6,93.8,388,False
YGE14100.1,YGE14100.1 neuraminidase [Influenza A virus],466,85.6,92.8,388,False
YEV89381.1,YEV89381.1 neuraminidase [Influenza A virus],466,85.6,92.3,388,False
YGE14104.1,YGE14104.1 neuraminidase [Influenza A virus],466,85.3,92.3,388,False
YEX89525.1,YEX89525.1 neuraminidase [Influenza A virus],469,85.3,94.1,388,False
YEX89480.1,YEX89480.1 neuraminidase [Influenza A virus],469,85.3,94.1,388,False
YGE14109.1,YGE14109.1 neuraminidase [Influenza A virus],466,85.1,91.8,388,False
YGB74311.1,YGB74311.1 neuraminidase [Influenza A virus],466,85.1,92.8,388,False
YGE14097.1,YGE14097.1 neuraminidase [Influenza A virus],466,84.8,92.0,388,False
XUM16621.1,XUM16621.1 neuraminidase [Influenza A virus],466,84.8,92.5,388,False
YGE14107.1,YGE14107.1 neuraminidase [Influenza A virus],466,84.5,92.3,388,False
YFQ79230.1,YFQ79230.1 neuraminidase [Influenza A virus],466,84.5,92.3,388,False
XUM16610.1,XUM16610.1 neuraminidase [Influenza A virus],466,84.0,92.0,388,False
